agibeai-:avepiäiválâš	agibeai-	
álgo-:algâ-	álgo-	
vearjo-:viärjulâš	vearjo-	
ruovtto-:ruáptu-	ruovtto-	 <l pos="A">ruovtto-</l>
čuoččo-:čuožâ-	čuoččo-	
beaivvádat-:piäiváá	beaivvádat-	
dahku-:rahtum	dahku-	
loitontaa:mečidiđ	loitontaa	
kuuluttaa:kulluuttiđ	kuuluttaa	
doaba:tuávádâh	doaba	 <l pos="N">doaba</l>
spábba:pállu	spábba	 <l pos="N">spábba</l>
eananspábba:eennâmpállu	eananspábba	 <l pos="N">eananspábba</l>
snuiba:koibâ	snuiba	 <l pos="N">snuiba</l>
galba:kolbâ	galba	 <l pos="N">galba</l>
galba:käibi	galba	 <l pos="N">galba</l>
johtalusgalba:jotolâhmerkkâ	johtalusgalba	 <l pos="N">johtalusgalba</l>
silba:silbâ	silba	 <l pos="N">silba</l>
eallisilba:elleesilbâ	eallisilba	 <l pos="N">eallisilba</l>
bomba:pommi	bomba	 <l pos="N">bomba</l>
guohca:havrâ-	guohca	 <l pos="A">guohca</l>
gáica:kaiccâ	gáica	 <l pos="N">gáica</l>
vierca:vierccâ	vierca	 <l pos="N">vierca</l>
buoidda:puoidâ	buoidda	 <l pos="N">buoidda</l>
ridda:sibžádâh	ridda	 <l pos="N">ridda</l>
dáidda:taaiđâ	dáidda	 <l pos="N">dáidda</l>
govvadáidda:kovetaaiđâ	govvadáidda	 <l pos="N">govvadáidda</l>
váidda:sujâttâs	váidda	 <l pos="N">váidda</l>
gieldda:kiäldu	gieldda	 <l pos="N">gieldda</l>
bindda:pačarâs	bindda	 <l pos="N">bindda</l>
luodda:rađe	luodda	 <l pos="N">luodda</l>
boardda:porthááh	boardda	 <l pos="N">boardda</l>
jurdda:juurdâ	jurdda	 <l pos="N">jurdda</l>
rudda:njados	rudda	 <l pos="N">rudda</l>
gavdda:njuođâ	gavdda	 <l pos="N">gavdda</l>
čoavdda:čoovdâ	čoavdda	 <l pos="N">čoavdda</l>
bivdda:táttum	bivdda	 <l pos="N">bivdda</l>
duvdda:räijejeijee	duvdda	 <l pos="N">duvdda</l>
čuvdda:šliämu	čuvdda	 <l pos="A">čuvdda</l>
hávdda:haavdâ	hávdda	 <l pos="N">hávdda</l>
ládda:leemnâ	ládda	 <l pos="N">ládda</l>
nieida:nieidâ	nieida	 <l pos="N">nieida</l>
boaresnieida:puárisnieidâ	boaresnieida	 <l pos="N">boaresnieida</l>
siida:pajesijdâ	siida	 <l pos="N">siida</l>
muolda:mulde	muolda	 <l pos="N">muolda</l>
boanda:eennâmviljâleijee	boanda	 <l pos="N">boanda</l>
foanda:ruttârááju	foanda	 <l pos="N">foanda</l>
luhčadávda:čuávjitavdâ	luhčadávda	 <l pos="N">luhčadávda</l>
čoavjedávda:čuávjitavdâ	čoavjedávda	 <l pos="N">čoavjedávda</l>
golgodávda:njuámmootavdâ	golgodávda	 <l pos="N">golgodávda</l>
vuovssanasdávda:vyeksimtavdâ	vuovssanasdávda	 <l pos="N">vuovssanasdávda</l>
borasdávda:puurâs	borasdávda	 <l pos="N">borasdávda</l>
fiskesdávda:fiskistavdâ	fiskesdávda	 <l pos="N">fiskesdávda</l>
hávda:havdâ	hávda	 <l pos="N">hávda</l>
skárfa:skarfâ	skárfa	 <l pos="N">skárfa</l>
bidjat_veadjaga:täsitiäduttiđ	bidjat_veadjaga	
dađistaga:kuuloold	dađistaga	 <l pos="Adv">dađistaga</l>
šiega:nánnáá	šiega	 <l pos="A">šiega</l>
šiega:siivvâd	šiega	 <l pos="A">šiega</l>
álgga:aalgâ	álgga	 <l pos="N">álgga</l>
vuogga:vuoggâ	vuogga	 <l pos="N">vuogga</l>
ealga:sorvâ	ealga	 <l pos="N">ealga</l>
čalbmeguolga:čalmeroomâs	čalbmeguolga	 <l pos="N">čalbmeguolga</l>
snuolga:snuolgâ	snuolga	 <l pos="N">snuolga</l>
čolga:čulgâ	čolga	 <l pos="N">čolga</l>
válga:suárváš	válga	 <l pos="N">válga</l>
toga:juná	toga	 <l pos="N">toga</l>
juoga:miinii	juoga	 <l pos="N">juoga</l>
juoga:čäcijyehhee	juoga	 <l pos="N">juoga</l>
dearga:ruzze	dearga	 <l pos="N">dearga</l>
guorga:kuorgâ	guorga	 <l pos="N">guorga</l>
árga:argâ	árga	 <l pos="N">árga</l>
vuossárga:vuossargâ	vuossárga	 <l pos="N">vuossárga</l>
čivga:vielpis	čivga	 <l pos="N">čivga</l>
nieidačivga:nieidâpärni	nieidačivga	 <l pos="N">nieidačivga</l>
čuovga:čuovâ	čuovga	 <l pos="N">čuovga</l>
johtalusčuovga:jotolâhčuovâ	johtalusčuovga	 <l pos="N">johtalusčuovga</l>
čáhcerávga:vuáŋŋáš	čáhcerávga	 <l pos="N">čáhcerávga</l>
fága:aamnâs	fága	 <l pos="N">fága</l>
lága:juávhudâh	lága	 <l pos="N">lága</l>
reaŋga:reŋgâ	reaŋga	 <l pos="N">reaŋga</l>
seaŋga:seŋgâ	seaŋga	 <l pos="N">seaŋga</l>
betoŋga:beetoon	betoŋga	 <l pos="N">betoŋga</l>
veaja:vyestitiäddu	veaja	 <l pos="N">veaja</l>
friddja:rijjâ	friddja	 <l pos="A">friddja</l>
friddja:rijjâ	friddja	 <l pos="A">friddja</l>
idja:ijjâ	idja	 <l pos="N">idja</l>
geografiija:eennâmtieđâ	geografiija	 <l pos="N">geografiija</l>
biografiija:eellimkerdi	biografiija	 <l pos="N">biografiija</l>
teologiija:teologia	teologiija	 <l pos="N">teologiija</l>
energiija:energia	energiija	 <l pos="N">energiija</l>
kemiija:kemia	kemiija	 <l pos="N">kemiija</l>
kopiija:kopio	kopiija	 <l pos="N">kopiija</l>
poesiija:tihtâvuotâ	poesiija	 <l pos="N">poesiija</l>
politiija:poolis	politiija	 <l pos="N">politiija</l>
doarjja:toorjâ	doarjja	 <l pos="N">doarjja</l>
doaibmadoarjja:áigápuátutoorjâ	doaibmadoarjja	 <l pos="N">doaibmadoarjja</l>
viellja:viljâ	viellja	 <l pos="N">viellja</l>
medálja:miitaal	medálja	 <l pos="N">medálja</l>
detálja:ovtâskâsčyegis	detálja	 <l pos="N">detálja</l>
sátnja:viermisaaŋâ	sátnja	 <l pos="N">sátnja</l>
gavja:kovjâ	gavja	 <l pos="N">gavja</l>
veahka:viehâ	veahka	 <l pos="N">veahka</l>
bargoveahka:pargoviehâ	bargoveahka	 <l pos="N">bargoveahka</l>
giehka:kiehâ	giehka	 <l pos="N">giehka</l>
golbmačiehka:kulmâhâš	golbmačiehka	 <l pos="N">golbmačiehka</l>
láhka:njäähi	láhka	 <l pos="N">láhka</l>
vuođđoláhka:vuáđulaahâ	vuođđoláhka	 <l pos="N">vuođđoláhka</l>
máhka:immeev	máhka	 <l pos="N">máhka</l>
sáhka:hástu	sáhka	 <l pos="N">sáhka</l>
sáhka:saahâ	sáhka	 <l pos="N">sáhka</l>
baika:poškâ	baika	 <l pos="N">baika</l>
eaika:tammi	eaika	
biika:soođâ	biika	 <l pos="N">biika</l>
davviriika:tave-eennâm	davviriika	 <l pos="N">davviriika</l>
olgoriika:olgoeennâm	olgoriika	 <l pos="N">olgoriika</l>
gonagasriika:kunâgâskodde	gonagasriika	
čuoika:čuoškâ	čuoika	 <l pos="N">čuoika</l>
čuoika:čuoškâ	čuoika	 <l pos="N">čuoika</l>
vakka:kijssá	vakka	
čiekka:čiegâ	čiekka	 <l pos="N">čiekka</l>
bleahkka:lekkâ	bleahkka	 <l pos="N">bleahkka</l>
bleahkka:peldi	bleahkka	 <l pos="N">bleahkka</l>
seahkka:sekkâ	seahkka	 <l pos="N">seahkka</l>
koahkka:kokkâ	koahkka	 <l pos="N">koahkka</l>
bihkka:pikkâ	bihkka	 <l pos="N">bihkka</l>
republihkka:täsiväldi	republihkka	 <l pos="N">republihkka</l>
fabrihkka:fabrik	fabrihkka	 <l pos="N">fabrihkka</l>
musihkka:muusik	musihkka	 <l pos="N">musihkka</l>
politihkka:politijkká	politihkka	 <l pos="N">politihkka</l>
narkotihkka:narkotiik	narkotihkka	 <l pos="N">narkotihkka</l>
dearbastihkka:heeilâr	dearbastihkka	 <l pos="N">dearbastihkka</l>
plastihkka:lastik	plastihkka	 <l pos="N">plastihkka</l>
statistihkka:lovottâh	statistihkka	 <l pos="N">statistihkka</l>
akustihkka:akustiik	akustihkka	 <l pos="N">akustihkka</l>
dohkka:teelaak	dohkka	
lohkka:lukkâ	lohkka	 <l pos="N">lohkka</l>
barohkka:baarook	barohkka	 <l pos="N">barohkka</l>
báhkka:pakkeet	báhkka	 <l pos="N">báhkka</l>
cealkka:ceelhâ	cealkka	 <l pos="N">cealkka</l>
plokka:avra	plokka	 <l pos="N">plokka</l>
gaskka:koskân	gaskka	 <l pos="Adv">gaskka</l>
joatkka:kuhádâs	joatkka	 <l pos="N">joatkka</l>
gietkka:kietkâm	gietkka	 <l pos="N">gietkka</l>
rátkka:pygálys	rátkka	 <l pos="N">rátkka</l>
dulka:tulkkâ	dulka	 <l pos="N">dulka</l>
hálka:ruokkâ	hálka	 <l pos="N">hálka</l>
kálka:kalkkâ	kálka	 <l pos="N">kálka</l>
tallearka:taldrik	tallearka	 <l pos="N">tallearka</l>
ovdamearka:ovdâmerkkâ	ovdamearka	 <l pos="N">ovdamearka</l>
dávdamearka:tavdâmerkkâ	dávdamearka	 <l pos="N">dávdamearka</l>
poastamearka:postâmerkkâ	poastamearka	 <l pos="N">poastamearka</l>
dovdomearka:tobdomerkkâ	dovdomearka	 <l pos="N">dovdomearka</l>
purka:porge	purka	
árka:arkkâ	árka	 <l pos="N">árka</l>
párka:muorâstâh	párka	 <l pos="N">párka</l>
beaska:turkkâ	beaska	 <l pos="N">beaska</l>
leaska:leskâ	leaska	 <l pos="N">leaska</l>
gaska:koskâ	gaska	 <l pos="N">gaska</l>
boska:puurrâmrääsi	boska	 <l pos="N">boska</l>
stáloboska:stáálupoccee	stáloboska	 <l pos="N">stáloboska</l>
buoska:juŋkká	buoska	 <l pos="N">buoska</l>
buoska:puoskâ	buoska	 <l pos="N">buoska</l>
duotka:kuámui	duotka	 <l pos="N">duotka</l>
cuovka:cuovkkâloho	cuovka	 <l pos="N">cuovka</l>
lávka:lavkkâ	lávka	 <l pos="N">lávka</l>
spárvabeaŋka:sorvi	spárvabeaŋka	 <l pos="N">spárvabeaŋka</l>
